ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LAT1,LONGITUD,LONG1,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,UBICACION,USO,MODELO
1118924,Fuentes de beber,91,CASA DE CAMPO,9,MONCLOA - ARAVACA,OPERATIVO,437855.77,4475632.61,ETRS89,4.042.901.050,40.429,-373.263.003,-3.733,CALLE,RIBERA DEL MANZANARES,123,28008,FUENTE DE LA COLONIA MANZANARES  (FUENTE DE LA TEJA Y EL SOPAPO),11051714,2017-04-27 00:00:00.0,FUE_09_0119,FUE22,VP,PERSONAS,PATRIMONIO_HISTORICO
3530207,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,448695.16,4482723.21,ETRS89,4.049.362.587,40.494,-360.542.308,-3.605,CALLE,JULIO CANO LASSO,47,28055,CONECTOR JORDI SOLE TURA,31040778,2017-05-16 00:00:00.0,FUE_16_0152,FUE22,ZV,PERSONAS,MU-37A
3530621,Fuentes de beber,113,SAN ISIDRO,11,CARABANCHEL,OPERATIVO,438194.03,4471508.96,ETRS89,4.039.188.807,40.392,-372.824.197,-3.728,CALLE,OROYA,3,28019,ALGORTA,20003215,2017-03-22 00:00:00.0,FUE_11_0128,FUE22,ZV,PERSONAS,MU-37A
3531365,Fuentes de beber,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,438.842.224,4483134.84,ETRS89,4.049.666.643,40.497,-372.172.440,-3.722,CALLE,MARIA DE MAEZTU,148,28049,,31049966,,FUE_08_0147,FUE22,ZV,PERSONAS,EGEA
3531367,Fuentes de beber,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,438.722.367,4482907.29,ETRS89,4.049.460.774,40.495,-372.311.672,-3.723,CALLE,MARIA DE MAEZTU,120,28049,JUNTO A JUEGOS MAYORES,31050035,,FUE_08_0148,FUE22,ZV,PERSONAS,EGEA
3531372,Fuentes de beber,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,438.584.784,4482766.8,ETRS89,4.049.333.200,40.493,-372.472.655,-3.725,CALLE,SENDA DEL INFANTE,54,28049,C/V CALLE SENDA DEL INFANTE,31037710,,FUE_08_0149,FUE22,ZV,PERSONAS,EGEA
3531377,Fuentes de beber,84,PILAR,8,FUENCARRAL - EL PARDO,OPERATIVO,440.043.598,4.480.524.799,ETRS89,4.047.324.191,40.473,-370.730.113,-3.707,AVENIDA,EL FERROL,35,28029,CALLE RIBADAVIA 45,11046306,,FUE_08_0152,FUE22,ZV,PERSONAS,MU-37A
3531398,Fuentes de beber,93,CIUDAD UNIVERSITARIA,9,MONCLOA - ARAVACA,OPERATIVO,439459.51,4478045.57,ETRS89,4.045.086.570,40.451,-371.395.457,-3.714,PASEO,JUAN XXIII,21,28040,,31014661,2018-03-07 00:00:00.0,FUE_09_0120,FUE22,ZV,PERSONAS,MU-37A
3558557,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,448618.65,4482199.06,ETRS89,4.048.889.931,40.489,-360.628.339,-3.606,CALLE,ESTANISLAO PEREZ PITA,70,28055,C/V C/ GUSTAVO PÉREZ PUIG,31063044,,FUE_16_0173,FUE22,ZV,PERSONAS,MU-37A
3568640,Fuentes de beber,102,PUERTA DEL ANGEL,10,LATINA,OPERATIVO,438538.17,4473705.18,ETRS89,4.041.169.809,40.412,-372.439.943,-3.724,CALLE,PABLO CASALS,2,28011,CV CALLE JUAN  TORNERO,11060052,2017-10-16 00:00:00.0,FUE_10_0110,FUE22,VP,PERSONAS,MU-37B
3568799,Fuentes de beber,152,PUEBLO NUEVO,15,CIUDAD LINEAL,OPERATIVO,445907.19,4475578.89,ETRS89,4.042.908.908,40.429,-363.771.174,-3.638,CALLE,LUIS RUIZ,48,28017,EN TRAMO PEATONAL GREGORIO DONAS,31030631,2017-09-18 00:00:00.0,FUE_15_0121,FUE22,VP,PERSONAS,MU-S37A
1118899,Fuentes de beber,191,CASCO HISTORICO DE VICALVARO,19,VICALVARO,OPERATIVO,448223.60,4473350.68,ETRS89,4.040.916.335,40.409,-361.022.319,-3.610,PLAZA,VICALVARADA,4,28032,CV C/ CALAHORRA 22,31053577,,FUE_19_0140,FUE22,ZV,PERSONAS,MU-37E
1118921,Fuentes de beber,43,FUENTE DEL BERRO,4,SALAMANCA,OPERATIVO,443881.34,4475590.91,ETRS89,4.042.906.316,40.429,-366.159.450,-3.662,PLAZA,AMERICA ESPAÑOLA,5,28028,Entrada PARQUE SANCHO DÁVILA,31047835,2017-04-27 00:00:00.0,FUE_04_0039,FUE22,ZV,MASCOTAS,BEBEDERO TERRIER
3530213,Fuentes de beber,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,448.696.169,4.481.911.509,ETRS89,4.048.631.369,40.486,-360.534.547,-3.605,CALLE,FERNANDO HIGUERAS,55,28055,C/V C/ JULIO CANO LASSO,31039443,2017-05-16 00:00:00.0,FUE_16_0172,FUE22,ZV,PERSONAS,MU-37A
